KN,US,US,O,O,UN,UN,N,UN,O,O,O,O,XN,XN,US,US,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,US,UN,S,N,N,XN,N,N,O,XN,XN,XN,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,B,AS,UB,UN,B,B,N,US,B,US,UN,UN,UN,US,UN,UN,UN,US,UN,UN,UN,S,N,UAN,UAN,US,UB,XS,XS,O,UB,UB,B,O,UN,US,N,O
518,冠军的王冠,头像,,,0,0,6,,,,,,0,0,可以解锁2014WCA的冠军头像,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/560.png,5,,,,,1,1,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,1,YES,,,Gold,,,,,,,,,,,,,,,,,,,,Avatar,,,NO,NO,,头像,1406500518,,,
519,亚军的王冠,头像,,,0,0,6,,,,,,0,0,可以解锁2014WCA的亚军头像,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/561.png,5,,,,,1,1,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,1,YES,,,Gold,,,,,,,,,,,,,,,,,,,,Avatar,,,NO,NO,,头像,1406500519,,,
520,季军的奖杯,头像,,,0,0,6,,,,,,0,0,可以解锁2014WCA的季军头像,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/562.png,5,,,,,1,1,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,1,YES,,,Gold,,,,,,,,,,,,,,,,,,,,Avatar,,,NO,NO,,头像,1406500520,,,
521,殿军的奖杯,头像,,,0,0,6,,,,,,0,0,可以解锁2014WCA的殿军头像,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/563.png,5,,,,,1,1,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,1,YES,,,Gold,,,,,,,,,,,,,,,,,,,,Avatar,,,NO,NO,,头像,1406500521,,,
522,八强的星耀,头像,,,0,0,6,,,,,,0,0,可以解锁2014WCA的第5-8名头像,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/564.png,5,,,,,1,1,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,1,YES,,,Gold,,,,,,,,,,,,,,,,,,,,Avatar,,,NO,NO,,头像,1406500522,,,
523,神王的气息,头像框,,,0,0,4,0,,,,,0,0,可以获得一个巅峰竞技场的头像框。,顶礼膜拜,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/565.png,5,,,,,0,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,1,YES,,,Gold,,,,,,,,,,,,,,,,,,,,AvatarFrame,,,NO,NO,,头像框,1304500523,,,
524,灵魂石(老鹿),灵魂石,3,,20000,4000,3,,,,,,0,0,收集30个灵魂石，可以召唤英雄老鹿。同时也是老鹿进化的必备材料。,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-HERO/TS.png,7,,,,,1,1,0,10122,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,可从传奇竞技场商店兑换获得;百货小店购买,,999,,,,Gold,,,,,,,,,,,,,,,,10122,,,,Soul,,,NO,NO,,灵魂石,1603500524,,,
525,灵魂石(灰烬之灵),灵魂石,3,,20000,4000,3,,,,,,0,0,收集80个灵魂石，可以召唤英雄灰烬之灵。同时也是灰烬之灵进化的必备材料。,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-HERO/EM.png,9,,,,,1,1,0,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,魂匣召唤获取;披萨商店获取,,999,,,,Gold,,,,,,,,,,,,,,,,,,,,Soul,,,NO,NO,YES,灵魂石,1603500525,,,
526,灵魂石(风暴之灵),灵魂石,3,,20000,4000,3,,,,,,0,0,收集30个灵魂石，可以召唤英雄风暴之灵。同时也是风暴之灵进化的必备材料。,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-HERO/ST.png,9,,,,,1,1,0,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,百货小店购买,,999,,,,Gold,,,,,,,,,,,,,,,,,,,,Soul,,,NO,NO,,灵魂石,1603500526,,,
527,屠龙刀,合成品,990,,303500,0,6,145,龙珠,麒麟弯刀,永恒冰柱,振奋石,0,0,,我这对屠龙刀总觉得像是假货,,,,1000,,90,170,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/z58.png,3,,,,,85,85,0,,,,1980,23.5,,,,100,,20,25,,,,,,,,,,,,,,,,,,,YES,,,999,,YES,,Gold,,,,,,,,,,,,,,,,,,,,Assembled,,,NO,NO,,合成品,1906500527,,,
528,龙珠,卷轴,300,,60000,0,6,0,,,,,529,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/z58_s.png,2,,,,,85,85,0,10090,,,600,0,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,999,,,,Gold,,,,,,,,,,,,,,,,10129;10119;10090,,,,Scroll,,,NO,NO,,卷轴,1706500528,,,
529,龙珠(碎片),碎片,5,,1000,500,6,0,,,,,0,0,集齐60个碎片，可以合成龙珠。用于合成灰烬之灵的专属装备。,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/z58_s.png,6,,,,,85,85,0,10090,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,999,,,,Gold,,,,,,,,,,,,,,,,10129;10119;10090,,,,Fragment,,灰烬之灵,NO,NO,,卷轴,1706500529,,,
530,万圣节的氛围,头像框,,,0,0,4,0,,,,,0,0,可以获得万圣节头像框。,不给糖就捣乱,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/566.png,6,,,,,0,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,1,YES,,,Gold,,,,,,,,,,,,,,,,,,,,AvatarFrame,,,NO,NO,,头像框,1304500530,,,
531,南瓜头,头像,,,0,0,4,,,,,,0,0,可以解锁万圣节头像,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/567.png,3,,,,,1,1,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,1,YES,,,Gold,,,,,,,,,,,,,,,,,,,,Avatar,,,NO,NO,,头像,1404500531,,,
532,死神镰刀,合成品,1050,,252500,0,6,159.5,死神名单,水晶球,永恒冰柱,神圣种子,0,0,,我没有名字所以不会卍解,,,,1000,,,185,32,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/z20.png,4,,,,,85,85,0,,,,2100,25,,,,100,,,30,6,,,,,,,,,,,,,,,,,,YES,,,999,,YES,,Gold,,,,,,,,,,,,,,,,,,,,Assembled,,,NO,NO,,合成品,1906500532,,,
533,死神名单,卷轴,300,,60000,0,6,0,,,,,534,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/z20_s.png,4,,,,,85,85,0,10085,,,600,0,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,999,,,,Gold,,,,,,,,,,,,,,,,10127;10113;10085,,,,Scroll,,,NO,NO,,卷轴,1706500533,,,
534,死神名单(碎片),碎片,5,,1000,500,6,0,,,,,0,0,集齐60个碎片，可以合成死神名单。用于合成死灵法师的专属装备。,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/z20_s.png,8,,,,,85,85,0,10085,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,999,,,,Gold,,,,,,,,,,,,,,,,10127;10113;10085,,,,Fragment,,死灵法师,NO,NO,,卷轴,1706500534,,,
535,火神角盔,合成品,960,,278000,0,6,159,地心熔岩,麒麟弯刀,禁卫军胸甲,恶魔之矢,0,0,,警告：头上的犄角不可拆卸,,,30,1200,,90,,,15,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/z25.png,4,,,,,85,85,0,,,,1920,22.5,,,5,170,,12,,,2,,,,,,,,,,,,,,,,,YES,,,999,,YES,,Gold,,,,,,,,,,,,,,,,,,,,Assembled,,,NO,NO,,合成品,1906500535,,,
536,地心熔岩,卷轴,300,,60000,0,6,0,,,,,537,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/z25_s.png,4,,,,,85,85,0,10087,,,600,0,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,999,,,,Gold,,,,,,,,,,,,,,,,10130;10115;10087,,,,Scroll,,,NO,NO,,卷轴,1706500536,,,
537,地心熔岩(碎片),碎片,5,,1000,500,6,0,,,,,0,0,集齐60个碎片，可以合成地心熔岩。用于合成影魔的专属装备。,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/z25_s.png,8,,,,,85,85,0,10087,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,999,,,,Gold,,,,,,,,,,,,,,,,10130;10115;10087,,,,Fragment,,影魔,NO,NO,,卷轴,1706500537,,,
538,妖刀村正,合成品,800,,259000,0,6,143.75,陨铁,麒麟弯刀,恶魔之矢,振奋石,0,0,,我一刀斩你个桃花开,,,,1000,,100,,,,35,,,,,,,,,,,,,,,,UI/DOTA-ITEM/z27.png,4,,,,,85,85,0,,,,1600,24.75,,,,100,,20,,,,7,,,,,,,,,,,,,,,,YES,,,999,,YES,,Gold,,,,,,,,,,,,,,,,,,,,Assembled,,,NO,NO,,合成品,1906500538,,,
539,陨铁,卷轴,300,,60000,0,6,0,,,,,540,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/z27_s.png,2,,,,,85,85,0,0,,,600,0,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,999,,,,Gold,,,,,,,,,,,,,,,,,,,,Scroll,,,NO,NO,,卷轴,1706500539,,,
540,陨铁(碎片),碎片,5,,1000,500,6,0,,,,,0,0,集齐60个碎片，可以合成陨铁。用于合成剑圣的专属装备。,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/z27_s.png,6,,,,,85,85,0,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,YES,可从巅峰竞技场商店兑换获得,,999,,,,Gold,,,,,,,,,,,,,,,,,,,,Fragment,,剑圣,NO,NO,,卷轴,1706500540,,,
541,雪人,合成品,1050,,247500,0,6,160,雪球,永恒冰柱,永恒冰柱,永恒冰柱,0,0,,来，叔叔带你打雪仗呀,,,,1000,,,,30,30,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/z29.png,2,,,,,85,85,0,,,,2100,28,,,,100,,,,6,6,,,,,,,,,,,,,,,,,YES,,,999,,YES,,Gold,,,,,,,,,,,,,,,,,,,,Assembled,,,NO,NO,,合成品,1906500541,,,
542,雪球,卷轴,300,,60000,0,6,0,,,,,543,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/z29_s.png,2,,,,,85,85,0,10093,,,600,0,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,999,,,,Gold,,,,,,,,,,,,,,,,10093;10121,,,,Scroll,,,NO,NO,,卷轴,1706500542,,,
543,雪球(碎片),碎片,5,,1000,500,6,0,,,,,0,0,集齐60个碎片，可以合成雪球。用于合成小小的专属装备。,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/z29_s.png,6,,,,,85,85,0,10093,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,999,,,,Gold,,,,,,,,,,,,,,,,10093;10121,,,,Fragment,,小小,NO,NO,,卷轴,1706500543,,,
544,先祖图腾,合成品,1050,,252500,0,6,154,红杉,泰坦战斧,红宝石吊坠,银月长矛,0,0,,你的祖先在忽悠着你,,,,1000,,90,,,30,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/z30.png,4,,,,,85,85,0,,,,2100,25.6,,,,100,,16,,,6,,,,,,,,,,,,,,,,,YES,,,999,,YES,,Gold,,,,,,,,,,,,,,,,,,,,Assembled,,,NO,NO,,合成品,1906500544,,,
545,红杉,卷轴,300,,60000,0,6,0,,,,,546,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/z30_s.png,2,,,,,85,85,0,0,,,600,0,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,999,,,,Gold,,,,,,,,,,,,,,,,,,,,Scroll,,,NO,NO,,卷轴,1706500545,,,
546,红杉(碎片),碎片,5,,1000,500,6,0,,,,,0,0,集齐60个碎片，可以合成红杉。用于合成神牛的专属装备。,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/z30_s.png,6,,,,,85,85,0,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,YES,可从英雄的远征补给站兑换获得,,999,,,,Gold,,,,,,,,,,,,,,,,,,,,Fragment,,神牛,NO,NO,,卷轴,1706500546,,,
547,加特林机炮,合成品,810,,232000,0,6,157.5,枪管,鹰羽指环,恶魔之矢,掠夺之斧,0,0,,呀！哒哒哒哒哒哒！,,,,500,,100,,,,30,,,,,,10,,,,,,,,,,UI/DOTA-ITEM/z36.png,5,,,,,85,85,0,,,,1620,31.5,,,,100,,20,,,,6,,,,,,2,,,,,,,,,,YES,,,999,,YES,,Gold,,,,,,,,,,,,,,,,,,,,Assembled,,,NO,NO,,合成品,1906500547,,,
548,枪管,卷轴,300,,60000,0,6,0,,,,,549,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/z36_s.png,2,,,,,85,85,0,10096,,,600,0,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,999,,,,Gold,,,,,,,,,,,,,,,,10096;10123,,,,Scroll,,,NO,NO,,卷轴,1706500548,,,
549,枪管(碎片),碎片,5,,1000,500,6,0,,,,,0,0,集齐60个碎片，可以合成枪管。用于合成直升机的专属装备。,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/z36_s.png,6,,,,,85,85,0,10096,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,999,,,,Gold,,,,,,,,,,,,,,,,10096;10123,,,,Fragment,,直升机,NO,NO,,卷轴,1706500549,,,
550,红色能量石,合成品,850,,211000,0,6,152,二极管,水晶球,红宝石吊坠,极限球,0,0,,哔卟，哔卟，哔卟（闪烁）,,,,700,,60,160,,20,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/z37.png,5,,,,,85,85,0,,,,1700,26.7,,,,100,,12,25,,4,,,,,,,,,,,,,,,,,YES,,,999,,YES,,Gold,,,,,,,,,,,,,,,,,,,,Assembled,,,NO,NO,,合成品,1906500550,,,
551,二极管,卷轴,300,,60000,0,6,0,,,,,552,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/z37_s.png,3,,,,,85,85,0,10085,,,600,0,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,999,,,,Gold,,,,,,,,,,,,,,,,10124;10111;10085,,,,Scroll,,,NO,NO,,卷轴,1706500551,,,
552,二极管(碎片),碎片,5,,1000,500,6,0,,,,,0,0,集齐60个碎片，可以合成二极管。用于合成亚龙的专属装备。,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/z37_s.png,7,,,,,85,85,0,10085,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,999,,,,Gold,,,,,,,,,,,,,,,,10124;10111;10085,,,,Fragment,,亚龙,NO,NO,,卷轴,1706500552,,,
553,梦魇兽,合成品,850,,211000,0,6,156,安眠药,泰坦战斧,红宝石吊坠,极限球,0,0,,骑上它立马变高富帅有木有,60,,,1200,,90,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/z42.png,3,,,,,85,85,0,,,,1700,25,10,,,160,,16,,,,,,,,,,,,,,,,,,,,YES,,,999,,YES,,Gold,,,,,,,,,,,,,,,,,,,,Assembled,,,NO,NO,,合成品,1906500553,,,
554,安眠药,卷轴,300,,60000,0,6,0,,,,,555,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/z42_s.png,3,,,,,85,85,0,10087,,,600,0,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,999,,,,Gold,,,,,,,,,,,,,,,,10129;10117;10087,,,,Scroll,,,NO,NO,,卷轴,1706500554,,,
555,安眠药(碎片),碎片,5,,1000,500,6,0,,,,,0,0,集齐60个碎片，可以合成安眠药。用于合成黑暗骑士的专属装备。,,,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/z42_s.png,7,,,,,85,85,0,10087,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,999,,,,Gold,,,,,,,,,,,,,,,,10129;10117;10087,,,,Fragment,,黑暗骑士,NO,NO,,卷轴,1706500555,,,
556,巫毒法杖,零件,300,,90000,45000,5,40.5,,,,,583,60,,小心被咬！,,,,,,,135,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/568.png,4,,,,,90,90,14,301,321,332,600,13.5,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,999,,,,Gold,,,,,,,,,,,,,,,,301,,,,Material,,,NO,NO,,零件,1905500556,,,
557,远征军之剑,零件,300,,90000,45000,5,48,,,,,584,60,,居家旅行杀人灭口必备,,,,,,80,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/569.png,5,,,,,90,90,14,303,323,338,600,18,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,999,,,,Gold,,,,,,,,,,,,,,,,303,,,,Material,,,NO,NO,,零件,1905500557,,,
558,黑暗法典,零件,240,,57600,28800,5,45,,,,,585,50,,古老的石板上印刻着神秘的法术,,,,,,,,,,,36,,,,,,,,,,,,,,,UI/DOTA-ITEM/570.png,4,,,,,90,90,13,279,296,309,480,18.75,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,999,,,,Gold,,,,,,,,,,,,,,,,279,,,,Material,,,NO,NO,,零件,1905500558,,,
559,刺客护符,零件,240,,57600,28800,5,45,,,,,586,50,,传说一代刺客大师阿尔泰曾经佩戴过这块护符,,,,,,,,,,36,,,,,,,,,,,,,,,,UI/DOTA-ITEM/571.png,4,,,,,90,90,13,276,293,306,480,18.75,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,999,,,,Gold,,,,,,,,,,,,,,,,276,,,,Material,,,NO,NO,,零件,1905500559,,,
560,静息项链,零件,300,,90000,45000,5,40.96,,,,,587,60,,戴上后整个人都安静了不少，买来送女友再合适不过了,,,,1024,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/572.png,4,,,,,90,90,13,299,318,326,600,16.384,,,,409.6,,,,,,,,,,,,,,,,,,,,,,,,,999,,,,Gold,,,,,,,,,,,,,,,,299,,,,Material,,,NO,NO,,零件,1905500560,,,
561,完美之匙,零件,240,,57600,28800,5,46,,,,,588,50,,万能钥匙，盗贼必备,,,,,,,,,23,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/573.png,4,,,,,90,90,13,271,290,315,480,22,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,999,,,,Gold,,,,,,,,,,,,,,,,271,,,,Material,,,NO,NO,,零件,1905500561,,,
562,银灵胸甲,零件,240,,57600,28800,5,46,,,,,589,50,,紫色品质，50金一件,,,,,,,,23,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/574.png,4,,,,,90,90,13,273,290,312,480,22,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,999,,,,Gold,,,,,,,,,,,,,,,,273,,,,Material,,,NO,NO,,零件,1905500562,,,
563,龙吼战斧,零件,360,,129600,64800,6,38.7,,,,,590,60,,同样可以用来砍柴劈木,43,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/575.png,4,,,,,90,90,14,282,299,326,720,21.6,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,,,,Gold,,,,,,,,,,,,,,,,282,,,,Material,,,NO,NO,,零件,1906500563,,,
564,轻盈之刃,零件,360,,129600,64800,6,38.7,,,,,591,60,,幻觉：我觉得我又变轻了,,,43,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/576.png,4,,,,,90,90,14,287,293,338,720,21.6,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,999,,,,Gold,,,,,,,,,,,,,,,,287,,,,Material,,,NO,NO,,零件,1906500564,,,
565,神圣法球,零件,360,,129600,64800,6,38.7,,,,,592,60,,传说当你集齐余下的六颗法球你就一共有七颗了,,43,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/577.png,4,,,,,90,90,13,284,296,332,720,21.6,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,999,,,,Gold,,,,,,,,,,,,,,,,284,,,,Material,,,NO,NO,,零件,1906500565,,,
566,幽冥法杖,合成品,560,,130000,65000,5,130.25,巫毒法杖,巫师之冠,法师抄本,0,,0,,死亡计时，现在开始,,,,,,,170,,,,25,,,,,,7,,,,1,,,,,UI/DOTA-ITEM/578.png,4,,,,,90,90,14,,,,1120,21.55,,,,,,,35,,,,5,,,,,,1.2,,,,,,,,,,,,999,,,,Gold,,,,,,,,,,,,,,,,,,,,Assembled,,,NO,NO,,合成品,1905500566,,,
567,弑魔巨剑,合成品,610,,152500,76250,5,133.25,远征军之剑,银月长矛,恶魔之矢,0,,0,,曾经有位英雄用这把剑斩死了一个色魔因而得名,,,,,,100,,7,,25,,,,,,7,,,,,,,,,,UI/DOTA-ITEM/579.png,4,,,,,90,90,14,,,,1220,25.45,,,,,,20,,1.2,,5,,,,,,1.2,,,,,,,,,,,,,999,,,,Gold,,,,,,,,,,,,,,,,,,,,Assembled,,,NO,NO,,合成品,1905500567,,,
568,龙脊战甲,合成品,610,,130000,65000,5,135,静息项链,银月长矛,恶魔之矢,0,,0,,军工品质，三防战甲,,,,700,,45,,,25,,,500,,,,,,,,,,,,,,UI/DOTA-ITEM/580.png,4,,,,,90,90,14,,,,1220,27,,,,140,,9,,,5,,,100,,,,,,,,,,,,,,,,,999,,,,Gold,,,,,,,,,,,,,,,,,,,,Assembled,,,NO,NO,,合成品,1905500568,,,
569,圣贤法袍,合成品,560,,170500,85250,5,138,静息项链,巫师之冠,法师抄本,0,,0,,只有魔法学校的优等生才有资格穿上这件法袍,,,,700,,,100,25,,,,500,,,,,,,,,,,,,,UI/DOTA-ITEM/581.png,4,,,,,90,90,14,,,,1120,27.6,,,,140,,,20,5,,,,100,,,,,,,,,,,,,,,,,999,,,,Gold,,,,,,,,,,,,,,,,,,,,Assembled,,,NO,NO,,合成品,1905500569,,,
570,魔浴长袍,合成品,500,,115600,57800,5,132.5,完美之匙,禁卫军胸甲,法师抄本,0,,0,,女王的新浴衣,10,10,10,500,,,,,,,,800,200,,,,,,,,,5,,,,UI/DOTA-ITEM/582.png,4,,,,,90,90,13,,,,1000,26.5,2,2,2,100,,,,,,,,160,40,,,,,,,,,1,,,,,,,999,,,,Gold,,,,,,,,,,,,,,,,,,,,Assembled,,,NO,NO,,合成品,1905500570,,,
571,地灵护袍,合成品,560,,141100,70550,5,145,银灵胸甲,永恒冰柱,恶魔之矢,射手指环,,0,,喜庆的衣服适合在过年的时候穿,,,,500,,,,20,20,,,,,,,,,,,,,,30,,,UI/DOTA-ITEM/583.png,4,,,,,90,90,13,,,,1120,23,,,,100,,,,4,4,,,,,,,,,,,,,,2,,,,,,999,,,,Gold,,,,,,,,,,,,,,,,,,,,Assembled,,,NO,NO,,合成品,1905500571,,,
572,天使祈福,合成品,800,,245200,122600,6,154.5,神圣法球,黑暗法典,巫师之冠,0,,0,,曾经是某职业的象征,,50,,300,,,200,,,,30,,,,,,,,,,,,,,,UI/DOTA-ITEM/584.png,4,,,,,90,90,13,,,,1600,30.9,,10,,60,,,40,,,,6,,,,,,,,,,,,,,,,,,999,,,,Gold,,,,,,,,,,,,,,,,,,,,Assembled,,,NO,NO,,合成品,1906500572,,,
573,恶魔短刃,合成品,850,,267700,133850,6,160.25,轻盈之刃,刺客护符,银月长矛,0,,0,,必要时可以当做飞刀扔出去，但要小心被敌人捡起来反杀,,,50,300,,120,,,,25,,,,,,,,,,,,,,,,UI/DOTA-ITEM/585.png,4,,,,,90,90,13,,,,1700,33.85,,,12,60,,24,,,,5,,,,,,,,,,,,,,,,,,,999,,,,Gold,,,,,,,,,,,,,,,,,,,,Assembled,,,NO,NO,,合成品,1906500573,,,
574,末日决斗,合成品,850,,267700,133850,6,161,龙吼战斧,刺客护符,银月长矛,0,,0,,厚重的大剑总是给人安全感,50,,,400,,100,,,20,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/586.png,4,,,,,90,90,13,,,,1700,32.2,10,,,80,,20,,,4,,,,,,,,,,,,,,,,,,,,999,,,,Gold,,,,,,,,,,,,,,,,,,,,Assembled,,,NO,NO,,合成品,1906500574,,,
575,魔龙巨盾,合成品,800,,227200,113600,6,153.5,龙吼战斧,银灵胸甲,红宝石吊坠,0,,0,,其实是龙族的勋章，只不过对于人类来说太大了,15,,,1000,,50,,35,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/587.png,4,,,,,90,90,13,,,,1600,30.7,3,,,200,,10,,7,,,,,,,,,,,,,,,,,,,,,999,,,,Gold,,,,,,,,,,,,,,,,,,,,Assembled,,,NO,NO,,合成品,1906500575,,,
576,寒冬之拥,合成品,800,,227200,113600,6,153.5,神圣法球,完美之匙,红宝石吊坠,0,,0,,穿上之后觉得更冷了,,15,,1000,,,100,,35,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/588.png,4,,,,,90,90,13,,,,1600,30.7,,3,,200,,,20,,7,,,,,,,,,,,,,,,,,,,,999,,,,Gold,,,,,,,,,,,,,,,,,,,,Assembled,,,NO,NO,,合成品,1906500576,,,
577,龙魂守护,合成品,1100,,259600,129800,6,176,龙吼战斧,银灵胸甲,静息项链,禁卫军胸甲,,0,,可以把它挂在家里当装饰,20,,,1200,,50,,,40,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/589.png,4,,,,,90,90,14,,,,2200,35.2,4,,,240,,10,,,8,,,,,,,,,,,,,,,,,,,,999,,,,Gold,,,,,,,,,,,,,,,,,,,,Assembled,,,NO,NO,,合成品,1906500577,,,
578,梦境之赐,合成品,1150,,282100,141050,6,176,神圣法球,完美之匙,静息项链,永恒冰柱,,0,,一片让人产生幻觉的树叶：其实你看到的装备图标改变都是幻觉,,20,,1200,,,100,40,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/590.png,4,,,,,90,90,14,,,,2300,35.2,,4,,240,,,20,8,,,,,,,,,,,,,,,,,,,,,999,,,,Gold,,,,,,,,,,,,,,,,,,,,Assembled,,,NO,NO,,合成品,1906500578,,,
579,厄运之斧,合成品,1060,,289600,144800,6,179.75,龙吼战斧,远征军之剑,麒麟弯刀,0,,0,,屠夫用来杀猪的大斧,65,,,,,100,,15,,25,,,,,,,,,,,,,,,,UI/DOTA-ITEM/591.png,4,,,,,90,90,14,,,,2120,35.95,13,,,,,20,,3,,5,,,,,,,,,,,,,,,,,,,999,,,,Gold,,,,,,,,,,,,,,,,,,,,Assembled,,,NO,NO,,合成品,1906500579,,,
580,邪恶之颅,合成品,1060,,289600,144800,6,178.5,神圣法球,巫毒法杖,蓝宝石法杖,0,,0,,人体解剖课程的实验标本,,65,,,,,200,,,,,,,,,,15,,,,,,,,,UI/DOTA-ITEM/592.png,4,,,,,90,90,14,,,,2120,35.7,,13,,,,,40,,,,,,,,,,3,,,,,,,,,,,,999,,,,Gold,,,,,,,,,,,,,,,,,,,,Assembled,,,NO,NO,,合成品,1906500580,,,
